"id. Response ID";"submitdate. Date submitted";"lastpage. Last page";"startlanguage. Start language";"seed. Seed";"startdate. Date started";"datestamp. Date last action";"GS. State your Group Number";"CARSELCONF. HOW DO YOU FEEL when people ask you about your IT / Computer Science / Other career plans? Do you feel confident, worried, ready for the future, or not-so-ready? Check the first thing comes to your mind at the moment -- how do you feel about career planning? ";"CARSELCONF[comment]. HOW DO YOU FEEL when people ask you about your IT / Computer Science / Other career plans? Do you feel confident, worried, ready for the future, or not-so-ready? Check the first thing comes to your mind at the moment -- how do you feel about career planning?  [Comment]";"CARPROSQ[SQ001]. CAR PROSPECT QUESTIONS [Do you know what skills employers need?]";"CARPROSQ[SQ002]. CAR PROSPECT QUESTIONS [Do you have ideas about which jobs or careers fit your interests and skills?]";"CARPROSQ[SQ003]. CAR PROSPECT QUESTIONS [Have you made contact with people who work in jobs that interest you? ]";"CARPROSQ[SQ004]. CAR PROSPECT QUESTIONS [Do you understand the short and long term impacts of your education and career choices?]";"CARPROSQ[SQ005]. CAR PROSPECT QUESTIONS [Do you know how to make a good impression if you want to be chosen for a position of responsibility?]";"CARPROSQ[SQ006]. CAR PROSPECT QUESTIONS [Do you know how to make a good impression when applying for a course or job?]";"CARPROSQ[SQ007]. CAR PROSPECT QUESTIONS [Do you feel confident talking about your skills in an interview?]";"CT[001]. I am confident in my ability to:  [I am confident in my ability to Revise drafts and justify revisions with evidence]";"CT[002]. I am confident in my ability to:  [I am confident in my ability to Develop follow-up questions that focus or broaden inquiry]";"CT[003]. I am confident in my ability to:  [I am confident in my ability to Create new, unique, surprising products]";"CT[004]. I am confident in my ability to:  [I am confident in my ability to Identify in detail what needs to be known to answer a science inquiry question]";"CT[005]. I am confident in my ability to:  [I am confident in my ability to Evaluate reasoning and evidence that support an argument]";"CT[006]. I am confident in my ability to:  [I am confident in my ability to Create ideas geared to the intended client or user]";"CT[007]. I am confident in my ability to:  [I am confident in my ability to Develop follow-up questions to gain understanding of the wants and needs of client or product users]";"CT[008]. I am confident in my ability to:  [I am confident in my ability to Combine different elements into a complete product]";"CT[009]. I am confident in my ability to:  [I am confident in my ability to Understand questions that lead to critical thinking]";"CT[010]. I am confident in my ability to:  [I am confident in my ability to Justify choices of evaluation criteria]";"CT[011]. I am confident in my ability to:  [I am confident in my ability to Gather relevant and sufficient information from different sources]";"COL[SQ001]. I am confident in my ability to:  [Be polite and kind to teammates]";"COL[SQ002]. I am confident in my ability to:  [Acknowledge and respect other perspectives]";"COL[SQ003]. I am confident in my ability to:  [Follow rules for team meetings]";"COL[SQ004]. I am confident in my ability to:  [Make sure all team members' ideas are equally valued]";"COL[SQ005]. I am confident in my ability to:  [Offer assistance to others in their work when needed]";"COL[SQ006]. I am confident in my ability to:  [Improve my own work when given feedback]";"COL[SQ007]. I am confident in my ability to:  [Use appropriate body language when presenting]";"COL[SQ008]. I am confident in my ability to:  [Come physically and mentally prepared each day]";"COL[SQ009]. I am confident in my ability to:  [Follow rules for team decision-making]";"COM[SQ001]. I am confident in my ability to:  [Use time, and run meetings, efficiently]";"COM[SQ002]. I am confident in my ability to:  [Organize information well]";"COM[SQ003]. I am confident in my ability to:  [Track our team's progress toward goals and deadlines]";"COM[SQ004]. I am confident in my ability to:  [Complete tasks without having to be reminded]";"COM[SQ005]. I am confident in my ability to:  [Present all information clearly, concisely, and logically]";"CRE[SQ001]. I am confident in my ability to:  [Understand how knowledge or insights might transfer to other situations or contexts]";"CRE[SQ002]. I am confident in my ability to:  [Find sources of information and inspiration when others do not]";"CRE[SQ003]. I am confident in my ability to:  [Help the team solve problems and manage conflicts]";"CRE[SQ004]. I am confident in my ability to:  [Adapt a communication style appropriate for the purpose, task, or audience]";"CRE[SQ005]. I am confident in my ability to:  [Elaborate and improve on ideas]";"interviewtime. Total time";"groupTime72. Group time: General Information";"GSTime. Question time: GS";"CARSELCONFTime. Question time: CARSELCONF";"CARPROSQTime. Question time: CARPROSQ";"groupTime68. Group time: Critical Thinking";"CTTime. Question time: CT";"groupTime69. Group time: Collaboration";"COLTime. Question time: COL";"groupTime70. Group time: Communication";"COMTime. Question time: COM";"groupTime71. Group time: Creativity";"CRETime. Question time: CRE"
"35";"2022-11-01 08:25:22";"5";"el";"1966964997";"2022-11-01 08:13:40";"2022-11-01 08:25:22";"GROUP 1";"Worried";"";"I know what this is, but I’m not sure if I can do it";"I can do this really well";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"5: Strongly agree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"5: Strongly agree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"703.92";"489.15";"";"";"";"81.06";"";"89.5";"";"17.34";"";"26.87";""
"36";"2022-11-01 08:27:36";"5";"el";"1856965561";"2022-11-01 08:13:44";"2022-11-01 08:27:36";"GROUP 3";"Excited";"";"I don’t know what this means";"I’m not able to do this yet";"I know what this is, but I’m not sure if I can do it";"I’m not able to do this yet";"I’m not able to do this yet";"I’m not able to do this yet";"I’m not able to do this yet";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"2: Disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"5: Strongly agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"833.88";"463.28";"";"";"";"162.05";"";"131.24";"";"30.81";"";"46.5";""
"37";"2022-11-01 08:29:22";"5";"el";"697749636";"2022-11-01 08:13:45";"2022-11-01 08:29:22";"GROUP 3";"Confident";"";"I know what this is, but I’m not sure if I can do it";"I can do this quite well but could develop further";"I can do this really well";"I can do this quite well but could develop further";"I can do this really well";"I can do this quite well but could develop further";"I can do this really well";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"939";"403.62";"";"";"";"111.18";"";"247.51";"";"34.01";"";"142.68";""
"38";"2022-11-01 08:27:27";"5";"el";"1647994346";"2022-11-01 08:14:18";"2022-11-01 08:27:27";"GROUP 1";"Confident";"";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this really well";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"5: Strongly agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"5: Strongly agree";"4: Agree";"4: Agree";"4: Agree";"5: Strongly agree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"5: Strongly agree";"4: Agree";"4: Agree";"791.91";"440.97";"";"";"";"184.87";"";"92.56";"";"33.33";"";"40.18";""
"39";"2022-11-01 08:21:25";"5";"el";"1448233906";"2022-11-01 08:15:22";"2022-11-01 08:21:25";"GROUP 5";"Ready";"";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this really well";"I can do this quite well but could develop further";"I know what this is, but I’m not sure if I can do it";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"5: Strongly agree";"4: Agree";"4: Agree";"5: Strongly agree";"5: Strongly agree";"4: Agree";"5: Strongly agree";"4: Agree";"5: Strongly agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"5: Strongly agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"366.13";"158.9";"";"";"";"112.21";"";"58.92";"";"18.47";"";"17.63";""
"40";"2022-11-01 08:28:01";"5";"el";"770350685";"2022-11-01 08:16:45";"2022-11-01 08:28:01";"GROUP 3";"Ready";"";"I know what this is, but I’m not sure if I can do it";"I can do this quite well but could develop further";"I can do this really well";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I can do this quite well but could develop further";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"4: Agree";"678.54";"396.67";"";"";"";"122.09";"";"63.15";"";"43.81";"";"52.82";""
"42";"2022-11-01 08:26:53";"5";"el";"945320511";"2022-11-01 08:18:21";"2022-11-01 08:26:53";"GROUP 4";"I haven't really started planning yet";"";"I don’t know what this means";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I can do this really well";"I can do this really well";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"5: Strongly agree";"4: Agree";"5: Strongly agree";"4: Agree";"4: Agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"4: Agree";"5: Strongly agree";"4: Agree";"5: Strongly agree";"4: Agree";"5: Strongly agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"5: Strongly agree";"4: Agree";"4: Agree";"4: Agree";"517.02";"208.85";"";"";"";"158.78";"";"60.95";"";"58.69";"";"29.75";""
"43";"2022-11-01 08:39:54";"5";"el";"789995212";"2022-11-01 08:22:04";"2022-11-01 08:39:54";"GROUP 4";"I haven't really started planning yet";"";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I can do this really well";"I can do this quite well but could develop further";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I can do this quite well but could develop further";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"2: Disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"5: Strongly agree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"2: Disagree";"2: Disagree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"2: Disagree";"4: Agree";"1071.99";"260.57";"";"";"";"115.18";"";"596.57";"";"44.41";"";"55.26";""
"46";"2022-11-01 09:17:51";"5";"el";"1750674163";"2022-11-01 09:15:52";"2022-11-01 09:17:51";"GROUP 4";"Confident";"";"I’m not able to do this yet";"I know what this is, but I’m not sure if I can do it";"I’m not able to do this yet";"I’m not able to do this yet";"I’m not able to do this yet";"I’m not able to do this yet";"I’m not able to do this yet";"2: Disagree";"2: Disagree";"2: Disagree";"2: Disagree";"2: Disagree";"2: Disagree";"2: Disagree";"2: Disagree";"2: Disagree";"2: Disagree";"2: Disagree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"121.4";"24.82";"";"";"";"29.18";"";"31.45";"";"16.87";"";"19.08";""
"47";"2022-11-01 09:42:06";"5";"el";"1826091681";"2022-11-01 09:27:39";"2022-11-01 09:42:06";"GROUP 5";"Excited";"";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"444.24";"356.14";"";"";"";"22.9";"";"39.9";"";"10.5";"";"14.8";""

